Ts,t,Q released,Weight loss,Q  Base line,W  Base line,Q corrected,Weight loss corrected,Q acumulated,Remaining Weight,,T (oC),Column,Row,Weight [%],Column,Row,,Sample,"Total OM loss
[%]","Total Q released
[J g-1]","Q' 
[J mg-1 OM]","Q50
[J g-1]","T50Q
[oC]","Q1
[%]","Q2
[%]","Q3
[%]","T1Q 
[oC]","T2Q 
[oC]","T3Q 
[oC]","W50
[%]","T50W
[oC]","W1
(%)","W2
(%)","W3
(%)","T1W 
[oC]","T2W 
[oC]","T3W 
[oC]"
[oC],[s],[W g-1],[% OM loss oC-1],[W g-1],[% OM loss oC-1],[W g-1],[mg OM g-1 sample oC-1],[J g-1],[%],,150,J,599,96.1,G,599,,SIA2,5.9,8512,143177,4256,389,43.4,47.7,8.9,343.1,427.1,475.1,3.0,385,2.8,1.9,1.3,325.9,422.5,475.1
5.21E+01,0.00E+00,-5.21E-01,0.00E+00,-5.21E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,375,J,1900,93.3,G,1901,,,,,,,,,,,,,,,,,,,,,
5.21E+01,1.00E+00,-5.46E-01,0.00E+00,-5.46E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,475,J,2509,91.4,G,2510,,,,,,,,,,,,,,,,,,,,,
5.21E+01,2.00E+00,-5.43E-01,0.00E+00,-5.43E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,600,J,3262,90.1,G,3262,,,,,,,,,,,,,,,,,,,,,
5.21E+01,3.00E+00,-5.41E-01,0.00E+00,-5.41E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,H,Total OM loss [%],5.9,,,,,,,,,,,,,,,,,,,,,,,
5.22E+01,4.00E+00,-5.41E-01,0.00E+00,-5.41E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,W50 [%],3.0,,,,,,,,,,,,,,,,,,,,,,,
5.22E+01,5.00E+00,-5.40E-01,0.00E+00,-5.40E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,W50 [%] Relative,93.1,,,,,,,,,,,,,,,,,,,,,,,
5.24E+01,6.00E+00,-5.40E-01,0.00E+00,-5.40E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.25E+01,7.00E+00,-5.40E-01,0.00E+00,-5.40E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.26E+01,8.00E+00,-5.43E-01,0.00E+00,-5.43E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.27E+01,9.00E+00,-5.44E-01,0.00E+00,-5.44E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,Q'= Q/OM [J mg OM-1],Q corrected,Q corrected abs,Q50,Groups of resistance to thermal oxidation,,,,,,,,,,,,,,,,,,,,,,
